이름,키,몸무게
타파나,180,72
바파라,122,89
나파가,156,108
아카바,197,41
사라라,156,55
라가파,172,149
카하자,148,57
아바나,154,129
바가타,169,72
자사나,137,109
사파라,175,135
다마파,188,54
타바나,153,110
타아마,121,116
하나아,158,95
아파자,165,99
파자파,147,93
나자다,179,99
차사가,129,65
차자아,158,71
카나사,155,101
하자바,127,138
카가카,170,91
파카사,158,104
라마파,193,91
파타타,145,101
사가하,175,75
파라자,143,41
다나라,148,102
마차다,185,102
다자자,134,130
사자타,193,99
다나나,173,78
자라가,156,49
마자카,187,99
하가라,188,87
사하카,176,137
파타마,135,112
나파나,143,49
타나가,187,86
차아바,168,89
카라자,145,62
다가마,169,67
바나타,186,68
나타라,127,49
파사카,121,129
파나차,199,73
사자가,199,90
파마하,181,83
타파카,158,135
가하마,198,44
바타다,135,54
바마마,130,68
카바가,128,101
파나카,169,98
타마파,140,81
파파하,155,103
타가타,123,105
다사자,173,61
다아다,158,81
자라아,160,83
나마차,163,102
카하마,171,80
라바마,123,117
아나타,129,109
나아카,183,119
라아자,185,76
하카사,184,63
가바파,187,109
자사하,140,44
마다다,180,104
가아자,187,83
바자라,186,53
자파파,140,41
나아다,178,115
카파바,195,73
가타하,165,138
하자차,196,146
다하아,143,56
다카라,155,144
아라사,192,49
차가파,147,148
나바차,179,137
타사자,165,112
아마하,195,65
자아자,160,148
아바차,172,92
하다라,178,109
카다바,179,125
가하카,191,146
사라자,194,143
아하하,139,51
사아차,160,83
파라사,169,139
아가타,169,97
다하자,156,142
카나라,157,104
파라나,182,63
카가마,134,43
파타라,173,72
